shortcode,influencer_profile,nb_comments,nb_likes
Bll9aLNH0tA,lelien_tomo,16,321
BSrLE5WjSIL,veverkakokos,0,33
BtUD2pbDvnb,alicekings,2,69
BqCho7jlaSW,nicolenic1973,12,632
BmDgRtfg6aJ,aleyahs,10,78
BZUm-lintlg,pxl.house,2,58
BXqp_yoDsq6,merakilane,8,198
BcUbgyCgTHI,zanabfarooq_,17,568
BqHV_MtBtmI,lightscamerabake,7,78
BVKDUBIFxkk,damn_gina86,0,4
BpTTbl_nD1a,matilda3.0,9,316
BuzbkC0DgGd,promideas1,1,1731
BiqYANWB6Mu,danialgmente,1,61
Be160mJBkIY,greengaskell,11,1702
BY5PqlMAXWY,rititipi,5,160
Btjs7hZAaDA,jesipepperminting,43,414
BrTW3SWHXwu,hungry.blonde,35,769
BTuPUm9BUI-,asim_cheema,14,77
Btav39phCvx,clementlazuech,37,4783
BqyqLeGHdY3,lipstickfables,82,10060
BVOGrxUAvWH,theexplorerdad,0,438
BXeS9ovla1x,elevationexp,0,93
BSBRWyKheI5,thewanderlustwithin,84,2208
BTCAdKmjvQ2,thegoodheartedwoman,46,168
BIsvbsWDPko,cookielicious_nz,17,169
Bhl1vcgg6iD,giuli_latini_la_vera_donna,0,44
BudWKPwHT7t,alreemdc,0,10
BirVcIvnDBq,elenabrotons,32,2698
BkgRhttBa0N,vinidalpino,417,33630
BLy1ru1D2X-,shiva.ghomeshi,32,1715
BgHXQaenaYS,momfitnessdiary,43,322
Bul4XRMhhot,foundthisgirl,7,233
Bbw8guBDiPn,julieborawska,6,2829
BqsjdM1gpXL,team_danos,1,351
BaSCOG4n6oy,shawnalanders,0,22
BAf9M4lQy7E,tj_wideman,3,78
BuZX5FWAg7c,ledgerandmajor,12,113
Bl5rDSADlQU,ozmdrn,60,790
BvfP2V6n1YP,timonthegram,62,3648
Bo7URFsAQlr,thewanderlette,15,397
BpCBv7RDWGP,natasha.rocca.devine,0,1391
BndZ65Fneak,ying_britney,4,583
BlYYrHbgCew,italonation_worldwide,1,82
BmDx5g_n0_G,lilychaplinska,4,116
BizTO5rj0vI,blackconfetti,17,272
Bd76PhbHfdG,brendanvanson,34,3556
BjM8b5xlUlp,boomupboomer,9,496
BobcSRegcfj,margemusic,0,239
BQjSFsdFZcm,isabelvacilotto,7,205
BgmOzILnT-W,noahsdaddotcom,55,1103
Bv64bOCAjM7,joychasers,6,1421
BrdSziQhTG7,layersofchic_,94,871
BnH4MYOgdda,hyun_jung__lee,0,1201
BeHVlE3gJdY,realserginho,82,12338
BtJru3AnZOo,rolito81,36,1036
BRXBfkfBfUT,jwthelyricist,3,32
BlOZwVghbLu,hayley.henderson,6,640
